tide,dates
-0.12737778,2019-04-05 04:00:00+00:00
-0.12793334,2019-04-05 04:15:00+00:00
-0.13283612,2019-04-05 04:30:00+00:00
-0.13198888,2019-04-05 04:45:00+00:00
-0.13257222,2019-04-05 05:00:00+00:00
-0.13169722,2019-04-05 05:15:00+00:00
-0.1316,2019-04-05 05:30:00+00:00
-0.13293333,2019-04-05 05:45:00+00:00
-0.13419722,2019-04-05 06:00:00+00:00
-0.13632222,2019-04-05 06:15:00+00:00
-0.13836388,2019-04-05 06:30:00+00:00
-0.13751666,2019-04-05 06:45:00+00:00
-0.13868333,2019-04-05 07:00:00+00:00
-0.14094722,2019-04-05 07:15:00+00:00
-0.14444722,2019-04-05 07:30:00+00:00
-0.14258611,2019-04-05 07:45:00+00:00
-0.1398639,2019-04-05 08:00:00+00:00
-0.13800278,2019-04-05 08:15:00+00:00
-0.13579445,2019-04-05 08:30:00+00:00
-0.12965555,2019-04-05 08:45:00+00:00
